,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
373,Sam Curran,3,0,41,0,13.66,2,3,3,1,0
374,Nathan Ellis,4,0,44,1,11.00,5,2,3,0,0
375,Rahul Chahar,4,0,42,0,10.50,4,4,2,0,0
376,Liam Livingstone,2,0,23,1,11.50,2,4,0,0,0
377,Trent Boult,4,0,41,2,10.25,8,6,0,1,0
378,Sandeep Sharma,4,0,49,2,12.25,9,7,2,1,0
379,Ravichandran Ashwin,4,0,36,1,9.00,7,2,2,1,0
380,Yuzvendra Chahal,4,0,28,1,7.00,7,0,1,2,0
381,Jason Holder,4,0,32,0,8.00,6,3,1,0,0
382,Mohammed Siraj,4,0,39,1,9.75,8,4,1,3,0
383,David Willey,4,0,26,1,6.50,11,2,1,1,0
384,Vijaykumar Vyshak,2,0,24,0,12.00,4,5,0,1,0
385,Glenn Maxwell,2,0,25,0,12.50,3,2,2,0,0
386,Harshal Patel,4,0,32,3,8.00,8,3,1,1,0
387,Wanindu Hasaranga,4,0,32,0,8.00,5,2,1,0,0
388,Umesh Yadav,3,0,35,0,11.66,7,3,3,0,0
389,David Wiese,3,0,38,0,12.66,3,3,2,0,0
390,Varun Chakravarthy,4,0,49,1,12.25,8,2,5,0,0
391,Kulwant Khejroliya,3,0,44,2,14.66,5,2,4,0,1
392,Sunil Narine,2,0,23,0,11.50,3,1,2,0,0
393,Suyash Sharma,4,0,29,1,7.25,8,2,1,0,0
394,Andre Russell,1,0,17,0,17.00,0,1,1,2,0
395,Akash Singh,4,0,29,1,7.25,13,4,1,1,0
396,Tushar Deshpande,4,0,43,2,10.75,12,3,3,4,0
397,Maheesh Theekshana,4,0,32,2,8.00,8,3,1,1,0
398,Moeen Ali,1,0,20,1,20.00,1,0,3,0,0
399,Ravindra Jadeja,3,0,34,1,11.33,5,2,3,0,0
400,Matheesha Pathirana,4,0,27,1,6.75,11,2,1,3,0
401,Bhuvneshwar Kumar,4,0,11,2,2.75,16,1,0,0,0
402,Marco Jansen,2,0,27,0,13.50,4,4,1,0,0
403,Washington Sundar,4,0,28,3,7.00,10,2,1,0,0
404,T Natarajan,3,0,21,1,7.00,3,2,0,0,0
405,Mayank Markande,4,0,34,0,8.50,7,4,0,1,0
406,Umran Malik,2,0,14,0,7.00,4,2,0,0,0
407,Aiden Markram,1,0,7,0,7.00,0,0,0,0,0
408,Ishant Sharma,3,0,18,1,6.00,8,2,0,0,0
